시도,수요기관,계약명,계약일,금액,업체명,구분,태그
강원,강원특별자치도교육청 강원특별자치도고성교육지원청,2025학년도 1학기 고성교육지원청 초등 AI디지털 교과서 구독 용역(천재교과서_수학),2025-10-10,3701390,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(천재교육_초등 영어),2025-09-30,1522500,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
세종,세종특별자치시교육청,2025학년도 1학기 AI 디지털교과서 사용 용역,2025-10-13,27402000,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(교학사_중등 수학),2025-09-30,11760000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(교학사_중등 수학),2025-09-30,4675230,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,"2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(미래엔_중등 영어, 정보)",2025-09-30,15404090,주식회사 미래엔,기술용역,미래엔 AI·디지털 교육자료
강원,강원특별자치도교육청 강원특별자치도동해교육지원청,2025학년도 1학기 AI디지털교과서 서비스 공급 용역(천재교과서-수학),2025-10-10,2929040,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,"2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(비상교육_중등 영어, 수학, 정보)",2025-09-30,86263970,(주)비상교육,기술용역,비상교육 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(엔이능률_중등 영어),2025-09-30,11391030,주식회사 엔이능률,기술용역,NE능률 AI·디지털 교육자료
세종,세종특별자치시교육청,2025학년도 1학기 AI 디지털교과서 사용 용역,2025-10-13,23205000,(주)금성출판사,기술용역,금성출판사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,117853510,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시달성교육지원청,2025학년도 달성교육지원청 AI 디지털교과서 구독 용역 계약(지학사_중등 영어),2025-09-30,1059030,주식회사 지학사,기술용역,지학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어),2025-09-30,136366980,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
세종,세종특별자치시교육청,2025학년도 1학기 AI 디지털교과서 사용 용역,2025-10-13,12857000,주식회사 지학사,기술용역,지학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어 11개월),2025-09-30,2727640,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-09-30,33731250,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,90838220,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,16301250,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(중등),2025-09-30,130039500,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등 영어),2025-09-30,74665440,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급(수시선정),2025-09-30,4667920,동아출판(주),기술용역,동아출판 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,7369200,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(초등),2025-09-30,156993190,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI 디지털교과서 공급 계약(중등),2025-09-30,17903850,주식회사 와이비엠,기술용역,YBM AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,7458750,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(초등),2025-09-30,236143230,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(중등),2025-09-30,177395600,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(초등),2025-09-30,6772500,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(초등),2025-09-30,13260000,주식회사 아이스크림미디어,기술용역,아이스크림미디어 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(초등),2025-09-30,1575000,(주)천재교육,기술용역,천재교과서 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역계약(중등),2025-09-30,10950000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시동부교육지원청,2025학년도 1학기 AI디지털교과서 공급 계약(중등),2025-09-30,30660000,(주)교학사,기술용역,교학사 AI·디지털 교육자료
대구,대구광역시교육청 대구광역시서부교육지원청,2025학년도 1학기 AI디지털교과서 구독료 용역(중등),2025-09-30,44489240,주식회사 미래엔,기술용역,미래엔 AI·디지털 교육자료
강원,강원특별자치도교육청 강원특별자치도고성교육지원청,2025학년도 1학기 고성교육지원청 초등 AI디지털 교과서 구독 용역(천재교과서_수학),2025-10-10,3701390,(주)천재교과서,기술용역,천재교과서 AI·디지털 교육자료
